age,booking_lead_time,trip_length,cabin_type,group_size,loyalty_status,paid_in_full,prior_cruises,customer_income,email_engagement_score,phone_verified,has_insurance,on_mailing_list,website_visits_last_month,survey_participation,preferred_contact_method,travel_history_score,referral_source,gift_certificate_used,canceled
58,39,10,Balcony,1,None,1,1,39313.08,0.52,0,0,0,2,No,Text,43.49,Search Engine,0,1
20,271,7,Interior,1,None,1,2,101186.69,0.23,0,0,1,0,Yes,Text,48.67,Social Media,0,1
56,285,7,Interior,1,None,1,0,135432.87,0.35,1,1,0,5,Yes,Email,51.81,Social Media,0,0
23,157,10,Oceanview,4,None,1,0,142772.06,0.39,1,1,1,2,Yes,Text,30.76,Search Engine,0,0
25,75,7,Oceanview,4,Silver,0,1,75820.95,0.5,0,0,0,0,Yes,Phone,38.85,Friend,0,0
44,288,5,Oceanview,3,Silver,1,1,74623.67,0.44,1,1,1,3,Yes,Phone,50.55,Social Media,0,1
26,130,5,Balcony,1,Platinum,1,2,82776.43,0.42,1,1,0,0,Partial,Email,41.84,Friend,0,0
79,175,5,Interior,4,Platinum,1,0,112022.18,0.59,1,0,0,2,Partial,Text,24.27,Social Media,1,0
54,84,10,Oceanview,2,Silver,0,1,81037.12,0.62,1,0,1,4,Partial,Text,44.53,Ad,0,0
50,22,10,Oceanview,2,Silver,1,0,76787.85,0.41,1,0,0,2,Yes,Phone,31.8,Social Media,0,0
68,27,14,Interior,3,Platinum,1,1,117181.17,0.37,1,1,0,7,Yes,Email,59.01,Ad,0,0
59,195,7,Balcony,4,None,1,1,86310.26,0.69,1,1,1,0,Yes,Phone,54.42,Friend,0,0
61,337,7,Balcony,3,None,1,2,80407.34,0.91,1,1,0,1,No,Text,63.51,Search Engine,0,0
41,236,3,Balcony,3,None,1,1,58716.05,0.36,1,1,1,2,Partial,Phone,53.13,Friend,0,0
32,92,7,Balcony,4,Silver,1,2,115810.91,0.63,0,0,1,1,Partial,Phone,33.9,Friend,0,0
76,21,7,Balcony,7,Gold,0,1,92412.34,0.48,1,0,1,1,Yes,Text,2.81,Friend,0,1
71,303,14,Interior,3,None,1,2,84648.32,0.6,1,1,1,3,No,Text,67.15,Ad,1,1
49,357,5,Balcony,1,Silver,0,1,29140.76,0.36,1,1,1,2,Partial,Text,43.6,Social Media,1,0
49,84,7,Oceanview,4,Silver,0,2,113634.95,0.31,1,1,0,3,No,Phone,16.52,Search Engine,0,0
41,262,7,Interior,1,None,0,2,50972.56,0.33,1,0,1,1,Yes,Phone,73.51,Friend,0,0
58,147,7,Interior,2,None,0,1,98557.57,0.42,1,1,1,3,Yes,Phone,58.66,Friend,1,1
69,257,7,Balcony,1,None,0,0,61643.97,0.46,1,0,0,2,No,Email,73.3,Friend,0,1
66,58,10,Balcony,6,None,1,0,52807.03,0.64,1,0,1,3,Yes,Email,56.41,Ad,1,0
79,15,5,Interior,1,Gold,1,2,112844.54,0.37,0,0,1,2,Partial,Text,59.97,Ad,0,1
66,162,10,Balcony,8,Gold,1,2,88049.74,0.4,1,1,1,7,Yes,Email,42.37,Ad,0,0
75,163,7,Suite,3,Gold,0,1,86231.2,0.81,1,0,1,4,Yes,Text,60.67,Social Media,0,0
69,320,10,Interior,5,Silver,1,1,143515.28,0.51,1,1,0,7,Yes,Phone,79.04,Social Media,0,0
29,281,10,Interior,5,Gold,1,0,143051.07,0.54,1,1,0,2,Yes,Text,62.45,Friend,1,0
79,280,5,Balcony,2,Silver,1,1,77591.38,0.61,1,0,1,1,No,Phone,44.66,Search Engine,0,0
56,12,5,Interior,3,Silver,0,2,45785.61,0.42,1,0,1,4,Yes,Text,30.35,Ad,0,0
19,274,14,Balcony,2,Silver,0,0,127414.35,0.5,1,0,0,2,Yes,Email,67.17,Social Media,0,0
20,271,7,Interior,3,Silver,1,1,44661.74,0.45,0,0,0,5,No,Phone,50.88,Social Media,0,0
66,208,14,Oceanview,1,None,1,2,99255.97,0.49,1,0,1,2,Yes,Phone,51.53,Search Engine,0,0
54,27,5,Balcony,4,Silver,1,2,76963.23,0.63,1,1,0,2,Yes,Phone,20.31,Ad,0,0
66,72,7,Balcony,3,None,1,4,87279.98,0.6,0,0,1,1,Yes,Email,19.22,Social Media,0,0
73,60,10,Balcony,3,Silver,1,1,121788.75,0.16,1,0,1,1,Yes,Email,51.28,Search Engine,0,0
34,145,14,Balcony,4,None,1,1,61394.67,0.65,1,0,1,5,No,Email,36.51,Search Engine,0,0
76,93,5,Balcony,1,None,0,0,66755.18,0.45,1,0,0,2,Yes,Phone,53.14,Ad,0,1
66,309,10,Balcony,3,Platinum,1,2,107741.57,0.56,1,1,0,3,No,Text,64.3,Ad,0,0
19,8,7,Interior,1,None,1,1,138664.55,0.44,1,0,1,2,No,Text,41.49,Ad,0,0
19,79,3,Oceanview,1,None,0,1,159225.22,0.49,1,1,0,4,No,Email,53.5,Friend,0,0
45,27,7,Interior,5,None,1,0,41475.68,0.7,1,0,1,3,Partial,Text,48.25,Social Media,0,1
71,174,7,Balcony,2,Gold,1,1,72411.68,0.55,1,0,1,5,Yes,Phone,94.28,Search Engine,0,0
40,50,14,Oceanview,3,Silver,1,0,54053.71,0.69,1,0,1,2,No,Phone,42.08,Friend,0,0
54,199,7,Oceanview,1,Silver,0,1,110396.55,0.49,0,1,1,2,Partial,Email,39.53,Ad,0,0
49,349,5,Interior,1,Gold,1,0,86826.02,0.48,1,0,1,4,Partial,Email,43.18,Social Media,0,0
50,181,3,Balcony,5,None,1,2,111333.62,0.5,1,0,1,3,No,Text,67.47,Social Media,0,1
18,24,7,Balcony,1,None,0,0,73146.57,0.31,1,1,1,2,Yes,Text,42.57,Friend,0,1
36,316,5,Oceanview,3,None,0,3,105985.84,0.1,1,0,1,3,Yes,Text,61.1,Search Engine,0,0
79,46,10,Balcony,2,Silver,1,3,79631.79,0.38,1,0,1,2,Yes,Email,50.53,Friend,0,0
19,15,5,Interior,3,Silver,0,1,89266.91,0.65,1,0,1,7,Partial,Email,50.93,Social Media,0,0
70,153,14,Oceanview,3,None,0,0,67712.77,0.71,1,0,1,2,No,Email,74.01,Search Engine,0,1
61,222,14,Balcony,3,None,0,1,125801.31,0.2,1,1,1,5,No,Phone,22.91,Friend,0,1
43,206,7,Oceanview,3,None,0,0,47118.48,0.69,0,0,1,2,No,Text,51.99,Friend,0,1
49,273,14,Suite,3,Silver,1,2,81588.1,0.41,1,0,0,2,No,Email,60.46,Ad,0,0
23,236,10,Interior,2,None,1,1,138426.52,0.29,1,1,1,5,Yes,Email,55.9,Social Media,0,0
49,340,7,Interior,2,None,1,0,123279.45,0.66,1,1,0,3,Partial,Email,28.01,Ad,0,0
72,228,5,Suite,2,None,1,1,59703.47,0.42,1,0,1,5,No,Text,32.91,Ad,0,1
21,9,7,Interior,6,Silver,0,1,61229.11,0.89,1,1,1,2,No,Text,54.17,Search Engine,0,1
72,166,7,Suite,4,Silver,0,3,100422.24,0.4,1,0,1,3,No,Phone,14.97,Search Engine,0,0
28,319,10,Suite,3,None,1,3,104498.01,0.46,1,1,0,0,No,Phone,42.06,Social Media,0,0
73,214,7,Interior,2,Silver,1,0,120697.11,0.35,1,0,0,3,Yes,Phone,31.55,Search Engine,0,0
76,117,10,Oceanview,4,Silver,1,0,42722.21,0.52,0,0,0,3,Yes,Phone,52.89,Social Media,0,0
34,344,7,Interior,1,Platinum,1,0,124473.8,0.62,1,0,1,4,Yes,Email,47.64,Search Engine,0,0
55,72,3,Oceanview,3,None,0,2,57957.09,0.24,0,1,0,2,No,Phone,55.69,Ad,0,1
41,64,14,Interior,2,Silver,1,1,125040.21,0.6,1,0,0,2,Yes,Email,36.99,Social Media,0,0
22,205,7,Interior,4,None,1,0,36537.31,0.44,1,0,1,3,Yes,Email,53.98,Ad,0,1
69,209,5,Oceanview,2,None,1,2,51581.37,0.37,1,1,0,7,No,Text,50.06,Search Engine,0,1
51,72,7,Oceanview,1,Silver,1,3,136630.46,0.29,1,1,1,3,Partial,Email,37.12,Ad,0,0
23,277,3,Suite,3,None,0,1,138281.13,0.65,1,1,0,0,Yes,Text,66.42,Search Engine,0,0
39,274,7,Balcony,4,None,1,1,88010.06,0.54,1,1,1,4,Yes,Phone,60.49,Friend,0,0
28,320,7,Balcony,2,None,0,1,75121.32,0.41,1,1,0,3,No,Phone,40.43,Ad,0,1
65,338,7,Oceanview,3,None,1,0,84518.39,0.62,1,0,0,5,Partial,Text,38.18,Social Media,1,1
33,95,14,Balcony,2,None,1,2,97441.84,0.58,1,0,1,6,No,Text,63.93,Ad,0,0
50,166,7,Oceanview,4,None,1,3,100144.32,0.63,1,0,0,3,No,Phone,25.82,Ad,0,1
26,32,5,Balcony,3,Silver,0,2,76158.02,0.75,1,1,1,3,Yes,Email,30.61,Social Media,0,0
77,11,7,Suite,2,Gold,1,2,26935.8,0.53,1,0,1,3,Partial,Email,57.2,Social Media,1,1
76,301,14,Oceanview,5,None,1,3,68688.89,0.79,1,0,0,4,Partial,Text,77.23,Friend,0,0
23,217,5,Balcony,1,Silver,1,0,38349.9,0.71,1,1,1,1,No,Email,40.93,Search Engine,0,0
33,289,5,Balcony,8,Gold,1,1,107974.32,0.62,1,0,1,4,Partial,Email,42.65,Search Engine,0,0
46,102,3,Suite,3,None,1,4,96066.81,0.25,1,0,0,4,Yes,Phone,46.71,Social Media,0,0
20,267,3,Balcony,5,None,1,1,81662.54,0.52,1,1,0,5,Yes,Text,42.9,Ad,0,0
37,214,10,Interior,4,Gold,1,2,77476.98,0.54,1,0,0,2,No,Phone,43.59,Search Engine,0,0
77,179,10,Oceanview,4,Silver,1,2,143983.13,0.53,1,1,0,2,Yes,Email,40.8,Social Media,0,0
76,88,5,Interior,7,None,1,1,119391.81,0.48,0,0,0,2,Partial,Email,52.81,Social Media,0,0
53,41,7,Balcony,2,None,1,1,91159.63,0.6,1,0,0,4,No,Phone,60.41,Friend,0,0
36,76,5,Interior,1,Silver,0,1,68858.53,0.62,1,1,1,1,No,Email,52.37,Ad,0,1
43,46,14,Balcony,4,Platinum,1,0,123699.92,0.25,1,0,1,4,Yes,Email,47.57,Friend,0,0
20,160,14,Interior,2,None,0,1,88315.01,0.7,1,0,0,0,No,Phone,40.89,Friend,1,1
36,80,5,Interior,1,Platinum,1,1,65550.14,0.28,1,1,1,7,Yes,Email,32.36,Ad,0,0
37,310,10,Oceanview,1,None,0,2,67282.43,0.44,1,0,1,2,Yes,Phone,30.52,Social Media,0,0
49,86,10,Balcony,2,None,1,1,104855.85,0.37,1,0,0,6,No,Text,27.53,Ad,0,0
24,92,5,Interior,4,None,1,3,113569.6,0.39,1,0,0,0,Yes,Email,59.48,Friend,0,1
69,148,5,Oceanview,6,Silver,0,3,104068.01,0.66,1,0,1,2,Partial,Email,41.27,Friend,0,0
58,161,7,Oceanview,2,None,0,2,104726.7,0.52,1,0,1,5,No,Phone,55.96,Ad,0,0
50,202,10,Interior,5,None,0,0,75871.87,0.6,1,1,1,3,No,Text,39.29,Friend,0,0
57,242,14,Interior,4,Gold,0,1,68674.55,0.59,1,0,1,2,Partial,Email,48.9,Social Media,0,1
56,353,10,Balcony,3,Platinum,1,0,89457.44,0.21,1,0,1,3,No,Email,44.92,Social Media,0,0
35,2,10,Oceanview,3,None,1,1,82539.26,0.42,1,0,1,2,No,Text,73.6,Ad,1,0
57,225,7,Interior,2,None,1,4,54976.21,0.61,0,0,1,4,No,Email,42.86,Ad,0,0
18,289,10,Balcony,4,Gold,0,1,84032.5,0.6,1,0,1,2,No,Phone,62.63,Social Media,0,0
28,233,10,Suite,4,Silver,1,0,105699.02,0.24,1,0,0,3,No,Text,29.05,Search Engine,0,0
45,77,5,Balcony,7,None,0,2,73288.49,0.65,1,1,0,2,Partial,Text,70.31,Search Engine,0,1
74,116,7,Oceanview,3,Platinum,1,1,132617.56,0.59,1,0,1,2,Partial,Email,62.44,Search Engine,0,0
42,154,10,Balcony,3,None,1,0,47445.51,0.36,1,0,1,6,No,Text,41.19,Ad,0,0
67,103,3,Suite,3,Silver,1,1,60275.4,0.56,1,0,1,4,No,Text,40.96,Social Media,0,0
40,194,10,Balcony,3,None,1,3,67816.43,0.47,1,1,0,1,Partial,Text,67.89,Social Media,0,0
48,166,5,Oceanview,4,Silver,0,2,109674.71,0.57,1,1,1,5,No,Email,63.96,Social Media,0,1
47,359,7,Oceanview,4,None,1,2,91371.44,0.23,1,1,0,2,Partial,Text,46.46,Social Media,0,0
59,90,10,Balcony,3,Silver,0,1,58418.37,0.45,1,0,0,1,No,Email,37.1,Ad,0,0
52,174,5,Interior,4,Platinum,0,2,28831.86,0.68,1,0,1,1,Partial,Text,66.14,Social Media,0,0
24,122,5,Oceanview,3,None,1,3,49397.72,0.58,1,0,1,1,Partial,Phone,42.92,Social Media,0,0
77,143,7,Balcony,2,Silver,0,1,32401.53,0.62,1,0,0,0,Partial,Text,55.03,Friend,0,0
33,106,10,Balcony,2,None,1,2,111204.27,0.46,1,1,1,3,No,Text,41.45,Friend,0,0
43,305,3,Oceanview,3,Gold,1,0,53227.5,0.58,1,0,1,4,No,Text,46.7,Friend,0,0
65,360,14,Balcony,2,Platinum,1,0,105416.89,0.48,1,1,1,4,No,Phone,78.56,Friend,0,0
74,317,5,Interior,4,Gold,1,0,101314.1,0.36,1,1,1,8,Yes,Text,48.85,Ad,0,1
69,123,14,Oceanview,4,Silver,1,0,120747.65,0.46,1,0,1,2,No,Phone,71.58,Search Engine,0,0
77,9,14,Balcony,2,Platinum,0,0,63560.29,0.72,1,1,0,1,Partial,Phone,27.17,Friend,1,1
66,262,7,Interior,5,None,1,1,97141.78,0.67,1,0,1,4,No,Phone,24.0,Friend,0,0
19,73,7,Interior,5,None,1,2,88650.5,0.35,0,0,0,3,Yes,Email,58.74,Friend,0,1
18,359,7,Suite,3,Silver,1,2,88734.0,0.44,1,0,1,5,No,Email,38.46,Ad,0,0
65,223,7,Interior,3,None,1,0,84429.52,0.36,0,0,1,2,Yes,Phone,49.65,Search Engine,0,0
79,41,3,Interior,6,Gold,0,0,110257.45,0.53,1,0,1,4,No,Email,18.21,Social Media,0,0
29,204,3,Suite,3,Silver,0,1,106976.94,0.65,1,0,0,1,Partial,Phone,19.52,Friend,0,0
22,264,3,Balcony,6,None,1,1,84924.4,0.8,1,1,1,6,No,Email,50.21,Search Engine,0,0
54,328,7,Balcony,4,None,0,1,71218.05,0.29,0,0,0,4,Yes,Email,42.73,Social Media,0,1
49,178,5,Balcony,4,None,1,1,67768.97,0.63,1,1,1,5,No,Text,44.97,Friend,1,0
76,348,7,Interior,2,Silver,1,1,86062.84,0.5,0,1,0,3,Yes,Email,75.02,Ad,0,0
72,318,14,Balcony,4,None,1,2,91654.68,0.44,1,1,1,2,Yes,Email,57.14,Ad,0,1
26,84,5,Oceanview,1,None,1,0,82256.18,0.36,1,0,1,2,No,Text,82.17,Ad,0,0
58,318,7,Balcony,4,Silver,0,1,46246.11,0.77,0,0,0,1,No,Phone,51.14,Social Media,0,1
52,111,7,Oceanview,2,Gold,1,1,75860.24,0.26,0,1,1,4,Yes,Text,72.43,Ad,0,0
36,251,10,Balcony,1,Platinum,1,1,69187.57,0.43,1,1,1,3,No,Email,64.75,Search Engine,0,0
65,7,14,Oceanview,2,Platinum,1,0,85452.38,0.56,0,0,1,2,Yes,Email,42.42,Social Media,0,0
33,84,10,Oceanview,6,Gold,1,3,161084.74,0.57,1,1,0,2,Partial,Phone,47.41,Ad,0,0
20,208,14,Balcony,1,None,1,2,97904.61,0.69,0,0,1,1,Yes,Email,44.68,Search Engine,0,0
37,314,3,Balcony,4,Gold,1,0,122867.24,0.37,0,1,1,1,No,Text,66.12,Search Engine,0,0
41,22,10,Balcony,2,None,0,2,64477.49,0.59,0,0,0,1,Yes,Phone,54.14,Friend,0,1
71,3,10,Oceanview,3,Silver,0,1,85656.62,0.49,0,0,1,5,No,Text,36.21,Friend,0,0
73,127,5,Oceanview,4,Silver,1,1,121860.27,0.51,1,0,1,1,No,Email,30.69,Search Engine,1,0
50,297,14,Balcony,5,Gold,0,0,37586.73,0.43,1,0,1,3,No,Phone,31.2,Friend,0,0
41,188,3,Balcony,1,None,1,1,77997.56,0.52,1,0,0,1,No,Email,36.57,Friend,0,0
69,362,7,Balcony,2,None,1,3,103619.64,0.48,1,1,1,2,Yes,Email,35.77,Social Media,0,0
28,14,5,Suite,5,Silver,1,0,82822.54,0.45,1,0,0,1,Yes,Text,31.9,Ad,0,0
66,12,7,Balcony,2,None,1,2,67963.2,0.42,1,0,1,2,Partial,Email,66.82,Social Media,0,0
25,87,10,Oceanview,5,Platinum,0,1,69648.33,0.56,1,1,1,4,No,Text,27.04,Social Media,0,0
53,12,7,Balcony,6,Silver,1,1,94461.89,0.3,1,1,1,2,No,Email,56.08,Friend,0,0
55,25,7,Suite,2,Silver,0,2,37885.36,0.47,1,0,1,2,Yes,Text,84.2,Ad,0,0
57,301,5,Balcony,3,Platinum,1,2,88738.83,0.38,1,1,1,2,Yes,Text,51.31,Social Media,0,0
37,243,10,Balcony,4,Silver,1,4,106775.61,0.48,1,0,0,0,No,Phone,51.35,Social Media,0,0
79,122,3,Balcony,2,None,0,3,74136.05,0.48,1,0,1,3,Partial,Phone,53.42,Social Media,0,1
52,147,7,Oceanview,4,None,1,2,38200.65,0.63,1,1,1,1,No,Email,27.85,Social Media,0,0
65,55,14,Interior,3,Silver,1,1,69638.88,0.6,1,1,1,5,Yes,Email,56.5,Ad,0,0
79,238,10,Oceanview,4,Gold,1,0,81287.02,0.54,1,0,1,2,No,Phone,55.03,Friend,0,0
42,356,7,Suite,2,Gold,1,0,52704.05,0.53,1,0,1,3,Partial,Text,49.39,Search Engine,0,0
52,173,10,Balcony,1,Platinum,0,1,85918.97,0.47,1,0,1,2,No,Text,24.66,Friend,0,0
42,221,10,Oceanview,4,None,1,3,90161.42,0.47,1,0,1,0,Partial,Phone,78.4,Search Engine,0,0
46,119,10,Suite,1,None,1,2,121077.6,0.24,1,1,0,3,No,Phone,53.56,Social Media,0,1
35,309,7,Oceanview,2,None,0,1,80052.29,0.61,1,1,1,3,Yes,Email,31.66,Search Engine,1,0
63,183,5,Oceanview,1,Gold,1,0,88351.71,0.54,1,1,0,3,Yes,Text,34.93,Ad,0,0
35,288,5,Balcony,3,None,1,0,68471.46,0.68,1,0,0,3,Yes,Phone,38.34,Ad,0,0
19,307,5,Balcony,2,None,1,3,70684.78,0.42,1,0,1,4,No,Text,73.82,Social Media,0,0
71,300,7,Interior,2,Silver,1,1,106125.66,0.69,1,0,1,0,No,Text,48.14,Ad,0,0
52,82,3,Oceanview,2,None,1,0,77965.12,0.47,1,0,1,4,No,Phone,48.15,Social Media,0,0
33,211,7,Oceanview,1,Silver,1,2,109798.07,0.41,1,1,1,6,Yes,Text,42.05,Search Engine,1,0
78,150,5,Oceanview,2,None,0,0,83596.34,0.73,1,0,0,3,Partial,Email,65.38,Friend,1,0
58,37,5,Oceanview,1,None,1,0,50685.01,0.55,1,0,1,2,Yes,Phone,66.17,Friend,0,0
53,352,10,Oceanview,3,None,1,1,64212.95,0.75,1,1,1,1,Yes,Text,27.3,Search Engine,0,0
50,312,7,Interior,4,Gold,1,2,157551.7,0.53,1,1,1,3,Yes,Phone,48.49,Friend,0,0
21,361,3,Oceanview,3,None,1,2,81986.15,0.62,1,0,1,7,Yes,Phone,46.77,Social Media,0,0
50,59,10,Interior,4,None,0,2,36540.12,0.65,1,1,1,4,Partial,Text,35.69,Search Engine,0,1
31,131,3,Oceanview,3,None,1,1,50850.73,0.46,1,0,1,2,Yes,Email,41.27,Social Media,0,1
38,202,10,Balcony,2,None,1,1,63614.32,0.55,1,1,1,3,Yes,Phone,45.62,Friend,0,0
65,243,10,Balcony,4,Gold,1,0,58201.44,0.52,1,0,1,1,No,Text,34.88,Social Media,1,1
37,35,5,Oceanview,1,None,1,0,52023.79,0.62,1,0,1,3,No,Phone,54.39,Ad,0,1
73,93,10,Interior,1,Platinum,1,0,128870.98,0.34,1,1,0,4,Yes,Phone,54.06,Friend,0,0
25,207,7,Interior,2,None,1,2,104939.88,0.59,0,0,1,3,Yes,Text,57.77,Ad,0,1
24,353,7,Oceanview,5,Gold,1,4,79005.35,0.64,1,0,1,2,Yes,Email,42.98,Ad,0,0
20,332,3,Interior,5,Gold,1,1,67381.92,0.4,0,0,1,3,Partial,Text,17.76,Search Engine,0,0
34,305,5,Oceanview,1,Silver,1,2,80149.16,0.37,0,0,0,2,No,Phone,39.29,Search Engine,0,0
50,350,14,Interior,8,Silver,1,1,138423.23,0.25,1,1,1,5,Partial,Email,34.22,Social Media,0,1
65,213,5,Balcony,4,None,1,0,59048.85,0.81,1,0,1,5,Yes,Email,47.46,Social Media,0,1
29,159,7,Oceanview,4,Silver,0,2,37685.04,0.39,1,0,1,3,No,Email,58.59,Friend,0,0
76,24,7,Interior,5,None,1,1,105020.6,0.71,0,1,0,2,No,Email,78.35,Social Media,0,1
68,293,7,Balcony,3,None,0,1,115244.02,0.47,1,0,0,5,Yes,Phone,36.41,Social Media,0,0
39,4,3,Oceanview,4,Gold,1,0,128549.03,0.66,0,0,1,3,No,Text,51.92,Search Engine,0,0
72,220,5,Interior,2,None,0,0,74429.85,0.59,1,0,1,3,No,Text,52.62,Search Engine,0,1
39,364,10,Oceanview,4,Gold,1,2,74743.59,0.82,0,0,1,2,No,Email,71.6,Ad,0,0
63,20,5,Oceanview,2,None,1,2,145368.43,0.72,1,0,1,2,No,Email,53.3,Social Media,0,1
47,152,5,Balcony,2,Silver,1,0,102864.99,0.53,0,1,0,1,No,Text,44.54,Search Engine,0,0
55,50,3,Interior,3,Platinum,1,5,82447.72,0.55,1,1,0,3,Partial,Email,49.36,Friend,0,0
55,177,7,Oceanview,3,Silver,1,2,100101.01,0.6,1,1,1,3,Partial,Text,55.22,Social Media,0,0
62,96,10,Interior,3,Silver,1,3,71920.0,0.9,1,1,0,2,No,Text,61.08,Friend,0,0
68,105,3,Interior,3,Silver,1,1,94036.74,0.51,1,1,1,3,No,Email,75.52,Ad,0,0
71,250,5,Balcony,4,Platinum,1,0,93549.71,0.31,1,1,1,3,No,Text,73.99,Ad,0,0
25,117,5,Balcony,4,None,1,1,110025.2,0.54,1,1,1,4,Yes,Text,38.56,Search Engine,0,0
44,354,10,Oceanview,5,Silver,1,2,55452.09,0.4,1,1,1,2,Yes,Text,27.44,Search Engine,1,0
44,228,7,Oceanview,4,None,1,0,95662.84,0.53,1,1,1,6,No,Email,31.27,Ad,1,0
51,66,7,Interior,3,None,1,1,50002.34,0.67,1,0,1,3,No,Phone,53.6,Friend,0,1
38,335,10,Balcony,2,None,1,2,141265.58,0.58,1,0,1,2,Partial,Phone,66.9,Ad,0,0
47,262,7,Interior,3,None,1,1,72423.88,0.41,1,0,1,2,Partial,Phone,46.34,Ad,0,0
50,295,10,Interior,5,Silver,1,1,35353.18,0.47,1,1,0,2,Partial,Phone,35.62,Search Engine,0,0
45,243,10,Oceanview,2,Gold,1,3,168320.83,0.34,1,1,0,3,Partial,Phone,28.01,Social Media,0,0
64,186,5,Oceanview,3,Gold,0,3,69367.75,0.69,1,1,1,1,No,Email,73.78,Search Engine,0,0
50,246,5,Oceanview,2,Silver,1,1,87848.93,0.62,0,0,1,2,No,Email,42.72,Search Engine,0,0
22,125,3,Interior,2,None,0,4,34139.64,0.34,1,0,0,3,No,Phone,26.86,Friend,0,1
77,268,5,Oceanview,3,None,1,1,83409.79,0.88,1,0,0,5,No,Phone,49.61,Ad,0,0
78,131,14,Oceanview,2,None,0,0,135181.41,0.47,1,1,1,1,No,Text,50.05,Social Media,0,1
65,237,7,Interior,5,Silver,0,1,106148.23,0.54,1,1,1,4,No,Text,63.27,Social Media,0,1
36,18,5,Balcony,2,None,1,3,33974.93,0.45,1,1,1,6,Partial,Text,32.1,Search Engine,0,0
21,40,10,Interior,3,Silver,1,5,62104.63,0.56,1,0,1,0,Yes,Phone,67.45,Search Engine,0,0
52,21,7,Oceanview,2,Platinum,1,3,112545.44,0.51,1,0,1,3,Yes,Phone,69.75,Ad,0,0
66,225,3,Balcony,5,Silver,1,3,104099.28,0.29,1,0,0,3,No,Email,51.39,Friend,1,0
34,355,5,Interior,4,Gold,0,0,70419.54,0.68,1,0,1,0,Partial,Text,59.09,Ad,0,0
61,282,7,Balcony,2,Silver,0,3,96912.07,0.38,0,1,1,4,Yes,Text,62.18,Social Media,0,0
45,8,10,Balcony,3,None,0,0,49055.28,0.64,1,0,1,4,Partial,Email,41.0,Friend,0,1
47,100,3,Interior,1,None,0,1,45789.75,0.47,0,0,1,2,Partial,Email,29.18,Search Engine,1,1
46,240,5,Suite,4,Gold,0,1,10201.25,0.51,1,0,0,2,Yes,Email,41.17,Search Engine,0,0
63,87,7,Oceanview,4,Silver,1,3,112761.61,0.57,1,0,1,5,Partial,Text,23.64,Social Media,0,0
70,298,5,Interior,3,Silver,1,2,81844.74,0.52,1,0,0,1,Yes,Email,57.09,Ad,0,0
23,14,7,Oceanview,5,None,1,1,85126.66,0.61,1,1,1,5,No,Phone,73.99,Friend,0,0
52,334,7,Oceanview,3,Silver,1,2,-7095.2,0.39,1,0,1,1,No,Phone,37.1,Ad,0,0
77,2,5,Balcony,4,None,1,0,83510.99,0.66,1,1,1,4,Partial,Phone,43.07,Ad,0,0
58,293,14,Balcony,2,None,1,2,101531.67,0.35,1,0,1,3,No,Email,46.22,Ad,0,1
54,325,7,Balcony,2,None,1,2,22316.6,0.36,1,1,1,4,No,Text,80.95,Search Engine,0,0
41,41,3,Suite,5,None,1,1,86326.0,0.59,1,0,1,4,No,Text,43.18,Social Media,0,0
46,318,7,Balcony,4,None,0,3,83004.8,0.66,1,1,0,0,No,Email,66.79,Friend,0,0
66,316,10,Balcony,2,None,1,2,71040.94,0.54,0,0,0,0,No,Email,50.54,Friend,0,0
63,111,10,Oceanview,3,Silver,1,1,124228.68,0.72,1,0,1,2,Partial,Text,2.45,Social Media,0,0
70,14,5,Oceanview,2,Silver,0,1,117030.32,0.37,1,0,1,5,Yes,Phone,42.48,Friend,0,1
48,231,14,Interior,2,Silver,1,0,184530.61,0.33,1,1,0,2,No,Phone,63.19,Friend,0,0
52,84,7,Balcony,2,None,1,1,48612.18,0.63,1,0,1,2,Yes,Text,42.56,Ad,0,0
77,130,5,Oceanview,1,Platinum,1,1,97859.24,0.52,1,1,1,2,Partial,Email,57.68,Ad,0,0
50,231,5,Interior,4,None,1,1,129996.19,0.62,1,1,1,2,Yes,Phone,75.99,Social Media,0,1
69,326,3,Interior,2,None,0,0,64234.15,0.35,1,0,1,4,Yes,Phone,57.77,Friend,0,1
78,145,10,Oceanview,4,Silver,1,0,135737.68,0.43,1,0,1,5,Partial,Phone,40.47,Social Media,0,0
38,345,3,Oceanview,3,None,1,1,95947.12,0.76,1,0,1,4,No,Email,60.66,Social Media,0,0
49,28,3,Oceanview,2,Silver,1,0,32599.11,0.47,1,0,0,2,No,Email,57.31,Social Media,0,0
40,66,10,Balcony,6,Silver,0,2,46423.82,0.71,1,0,1,4,Partial,Phone,64.56,Social Media,0,0
50,163,5,Oceanview,1,Platinum,1,0,67589.36,0.62,1,1,1,3,No,Email,48.61,Ad,0,0
20,229,3,Balcony,7,Gold,0,1,82353.07,0.46,1,1,1,1,Yes,Text,37.87,Search Engine,0,0
35,261,3,Interior,3,Platinum,1,1,122153.23,0.71,1,1,1,5,Yes,Email,58.07,Social Media,0,0
42,164,3,Interior,3,None,0,1,82309.9,0.55,1,0,0,2,No,Text,58.54,Friend,0,1
59,301,5,Oceanview,1,Gold,0,0,120978.81,0.5,0,1,1,4,Yes,Phone,42.04,Search Engine,0,0
48,303,7,Oceanview,4,None,0,1,88238.55,0.49,0,0,0,2,No,Phone,26.86,Ad,0,0
